time,open,high,low,close,volume
2026-03-18 10:14:00+07:00,62.4,62.4,62.4,62.4,4000
2026-03-18 10:15:00+07:00,62.4,62.5,62.4,62.4,12900
2026-03-18 10:16:00+07:00,62.4,62.5,62.4,62.5,2400
2026-03-18 10:17:00+07:00,62.5,62.5,62.4,62.4,15300
2026-03-18 10:18:00+07:00,62.5,62.5,62.4,62.4,2500
2026-03-18 10:19:00+07:00,62.4,62.5,62.2,62.2,17000
2026-03-18 10:20:00+07:00,62.2,62.5,62.2,62.5,5100
2026-03-18 10:21:00+07:00,62.5,62.5,62.2,62.2,3700
2026-03-18 10:22:00+07:00,62.5,62.5,62.2,62.2,12500
2026-03-18 10:23:00+07:00,62.4,62.5,62.2,62.5,23300
2026-03-18 10:24:00+07:00,62.5,62.5,62.2,62.4,11800
2026-03-18 10:25:00+07:00,62.4,62.4,62.4,62.4,4300
2026-03-18 10:26:00+07:00,62.4,62.4,62.4,62.4,7100
2026-03-18 10:27:00+07:00,62.4,62.4,62.3,62.3,4500
2026-03-18 10:28:00+07:00,62.4,62.4,62.2,62.2,14100
2026-03-18 10:29:00+07:00,62.3,62.3,62.3,62.3,200
2026-03-18 10:30:00+07:00,62.3,62.3,62.3,62.3,3700
2026-03-18 10:31:00+07:00,62.2,62.3,62.2,62.3,5100
2026-03-18 10:32:00+07:00,62.3,62.3,62.3,62.3,3200
2026-03-18 10:33:00+07:00,62.3,62.4,62.2,62.3,12600
2026-03-18 10:34:00+07:00,62.3,62.4,62.3,62.4,4700
2026-03-18 10:35:00+07:00,62.4,62.4,62.4,62.4,400
2026-03-18 10:36:00+07:00,62.4,62.4,62.3,62.3,800
2026-03-18 10:37:00+07:00,62.3,62.3,62.3,62.3,100
2026-03-18 10:38:00+07:00,62.3,62.3,62.3,62.3,6800
2026-03-18 10:39:00+07:00,62.3,62.3,62.3,62.3,2100
2026-03-18 10:40:00+07:00,62.3,62.3,62.2,62.2,1000
2026-03-18 10:41:00+07:00,62.3,62.3,62.3,62.3,1300
2026-03-18 10:42:00+07:00,62.3,62.3,62.3,62.3,600
2026-03-18 10:43:00+07:00,62.3,62.4,62.3,62.4,1500
2026-03-18 10:44:00+07:00,62.4,62.4,62.4,62.4,1800
2026-03-18 10:45:00+07:00,62.4,62.4,62.4,62.4,1500
2026-03-18 10:46:00+07:00,62.3,62.3,62.3,62.3,300
2026-03-18 10:47:00+07:00,62.4,62.4,62.3,62.3,7600
2026-03-18 10:48:00+07:00,62.3,62.3,62.3,62.3,100
2026-03-18 10:49:00+07:00,62.3,62.3,62.2,62.2,4700
2026-03-18 10:50:00+07:00,62.2,62.2,62.2,62.2,2100
2026-03-18 10:51:00+07:00,62.2,62.3,62.1,62.1,18300
2026-03-18 10:52:00+07:00,62.2,62.2,62.2,62.2,1400
2026-03-18 10:53:00+07:00,62.2,62.2,62.1,62.1,2700
2026-03-18 10:54:00+07:00,62.1,62.1,62.1,62.1,7200
2026-03-18 10:56:00+07:00,62.2,62.2,62.1,62.1,800
2026-03-18 10:57:00+07:00,62.1,62.1,62.1,62.1,2000
2026-03-18 10:58:00+07:00,62.1,62.3,62.1,62.3,2900
2026-03-18 10:59:00+07:00,62.1,62.1,62.1,62.1,100
2026-03-18 11:00:00+07:00,62.3,62.3,62.3,62.3,1000
2026-03-18 11:01:00+07:00,62.1,62.3,62.1,62.3,2500
2026-03-18 11:02:00+07:00,62.2,62.3,62.2,62.2,2000
2026-03-18 11:03:00+07:00,62.2,62.2,62.2,62.2,1000
2026-03-18 11:04:00+07:00,62.1,62.2,62.1,62.2,2700
2026-03-18 11:05:00+07:00,62.2,62.3,62.2,62.3,2000
2026-03-18 11:06:00+07:00,62.3,62.3,62.2,62.2,3300
2026-03-18 11:07:00+07:00,62.2,62.2,62.2,62.2,200
2026-03-18 11:08:00+07:00,62.2,62.2,62.1,62.1,10800
2026-03-18 11:09:00+07:00,62.1,62.2,62.1,62.2,700
2026-03-18 11:10:00+07:00,62.2,62.3,62.2,62.3,10300
2026-03-18 11:11:00+07:00,62.3,62.3,62.3,62.3,2600
2026-03-18 11:12:00+07:00,62.2,62.3,62.2,62.3,2600
2026-03-18 11:13:00+07:00,62.3,62.3,62.2,62.2,1700
2026-03-18 11:14:00+07:00,62.2,62.2,62.2,62.2,600
2026-03-18 11:16:00+07:00,62.2,62.2,62.2,62.2,1200
2026-03-18 11:17:00+07:00,62.2,62.2,62.2,62.2,1500
2026-03-18 11:18:00+07:00,62.2,62.2,62.2,62.2,1700
2026-03-18 11:19:00+07:00,62.2,62.2,62.2,62.2,4400
2026-03-18 11:20:00+07:00,62.2,62.2,62.1,62.2,2500
2026-03-18 11:21:00+07:00,62.1,62.1,62.1,62.1,5400
2026-03-18 11:22:00+07:00,62.1,62.3,62.0,62.0,14900
2026-03-18 11:23:00+07:00,62.0,62.1,62.0,62.1,2100
2026-03-18 11:24:00+07:00,62.1,62.1,62.1,62.1,2800
2026-03-18 11:25:00+07:00,62.1,62.1,62.0,62.0,6900
2026-03-18 11:26:00+07:00,62.1,62.1,62.0,62.0,11100
2026-03-18 11:27:00+07:00,62.0,62.2,62.0,62.0,2500
2026-03-18 11:28:00+07:00,62.0,62.1,61.9,61.9,116000
2026-03-18 11:29:00+07:00,62.0,62.0,61.9,61.9,22300
2026-03-18 13:00:00+07:00,61.9,62.0,61.7,61.8,58100
2026-03-18 13:01:00+07:00,61.9,62.0,61.7,61.8,53900
2026-03-18 13:02:00+07:00,61.8,61.9,61.8,61.9,3000
